"etag_id";"etagt_id";"etagt_language";"etagt_text";"etag_parent_id";"etag_weight";"etag_type"
"156";"1";"fr";"Anomalie de la qualité du tracé";"0";"0";"Catégorie"
"157";"3";"fr";"Artéfacts";"156";"1";"Normal"
"158";"5";"fr";"Inversion d'électrodes";"156";"2";"Normal"
"159";"7";"fr";"frontales";"158";"3";"Associé"
"160";"9";"fr";"précordiales";"158";"4";"Associé"
"161";"11";"fr";"onde P et QRS négatif DI";"158";"5";"Associé"
"162";"13";"fr";"tracé plat en DI, DII ou DIII";"158";"6";"Associé"
"163";"15";"fr";"onde P, QRS et T négatif en DIII";"158";"7";"Associé"
"164";"17";"fr";"ECG reconstruit";"156";"8";"Normal"
"165";"19";"fr";"Algorithme EASI";"164";"9";"Normal"
"166";"21";"fr";"Algorithme GE";"164";"10";"Normal"
"167";"23";"fr";"Algorithme autre/inconnu";"164";"11";"Normal"
"168";"25";"fr";"Rythme";"0";"12";"Catégorie"
"169";"27";"fr";"Rythme sinusal normal (Activité sinusale conduite aux ventricules)";"168";"13";"Normal"
"171";"29";"fr";"Activité sinusale (onde P sinusale)";"168";"14";"Normal"
"173";"31";"fr";"Anomalie de conduction";"168";"15";"Normal"
"174";"33";"fr";"Bradycardie (FC < 60 bpm)";"173";"16";"Normal"
"175";"35";"fr";"Bradycardie sinusale";"174";"17";"Normal"
"176";"37";"fr";"appropriée à la clinique";"175";"18";"Associé"
"179";"39";"fr";"Asystole";"173";"19";"Normal"
"182";"41";"fr";"Dysfonction sinusale / Bloc sino atrial (BSA)";"173";"20";"Normal"
"183";"43";"fr";"Bradycardie sinusale pathologique";"182";"21";"Normal"
"186";"45";"fr";"Bloc sino atrial (BSA) de type 1";"182";"22";"Normal"
"188";"47";"fr";"Bloc sino atrial (BSA) de type 2 (onde P manquante)";"182";"23";"Normal"
"191";"49";"fr";"Bloc sino atrial (BSA) de type 3 (onde P inexistante) ou paralysie sinusale";"182";"24";"Normal"
"194";"51";"fr";"Pause sinusale (> 3 sec)";"182";"25";"Normal"
"198";"53";"fr";"Pause post réduction de tachycardie";"182";"26";"Normal"
"204";"55";"fr";"Anomalie de la conduction AV";"173";"27";"Normal"
"205";"57";"fr";"BAV 1";"204";"28";"Normal"
"206";"59";"fr";"BAV 2 Mobitz 1";"204";"29";"Normal"
"209";"61";"fr";"BAV 2 : 1";"204";"30";"Normal"
"211";"63";"fr";"BAV 2 Mobitz 2 (onde P bloquée inopinée)";"204";"31";"Normal"
"213";"65";"fr";"BAV 3 : 1 ou plus ou FA très lente";"204";"32";"Normal"
"215";"67";"fr";"BAV 3 / complet";"204";"33";"Normal"
"220";"69";"fr";"Bloc de branche";"173";"34";"Normal"
"221";"71";"fr";"Bloc de branche droit (BBD) incomplet";"220";"35";"Normal"
"225";"73";"fr";"Bloc de branche droit (BBD) complet";"220";"36";"Normal"
"227";"75";"fr";"Bloc fasciculaire antérieur gauche (BFAG ou HBAG)";"220";"37";"Normal"
"231";"77";"fr";"Bloc fasciculaire postérieur gauche (BFPG ou HBPG)";"220";"38";"Normal"
